trade_date,classification,trades,active_accounts,daily_size_usd,daily_net_pnl,daily_win_rate,sentiment_value,daily_net_pnl_per_trade
2023-05-01,Greed,3,1,477.0,0.0,0.0,63.0,0.0
2023-12-05,Extreme Greed,9,1,50005.83,-12.501455,0.0,75.0,-1.3890505555555555
2023-12-14,Greed,11,1,113203.35,-233.73556800000003,0.36363636363636365,72.0,-21.248688
2023-12-15,Greed,2,1,10609.95,-27.284523,0.0,70.0,-13.6422615
2023-12-16,Greed,3,1,15348.77,-3.8371890000000004,0.0,67.0,-1.279063
2023-12-17,Greed,14,1,116278.02,275.91328599999997,0.5,73.0,19.708091857142854
2023-12-18,Greed,2,1,31164.179999999997,-7.791045,0.0,65.0,-3.8955225
2023-12-19,Greed,15,1,91602.41,977.638016,0.6666666666666666,73.0,65.17586773333333
2023-12-20,Greed,18,1,141636.79,127.323095,0.4444444444444444,74.0,7.073505277777778
2023-12-21,Greed,49,1,125233.97,505.902933,0.5306122448979592,70.0,10.324549653061226
2023-12-22,Greed,10,1,88874.28,119.61410899999998,0.2,74.0,11.961410899999999
2023-12-23,Greed,13,1,78438.25,127.327149,0.6153846153846154,70.0,9.794396076923077
2023-12-24,Greed,39,1,402954.94,907.881241,0.38461538461538464,71.0,23.27900617948718
2023-12-25,Greed,3,1,59948.51,-260.068473,0.0,73.0,-86.68949099999999
2023-12-27,Greed,28,1,171411.06,-747.741974,0.14285714285714285,73.0,-26.7050705
2023-12-28,Greed,23,1,100117.25,-995.760176,0.0,73.0,-43.293920695652176
2023-12-29,Greed,50,1,569559.72,366.532242,0.3,65.0,7.33064484
2023-12-30,Greed,52,1,702550.21,179.36112199999997,0.4423076923076923,68.0,3.4492523461538456
2024-01-01,Greed,18,1,264239.52999999997,-195.59132699999998,0.05555555555555555,65.0,-10.866184833333332
2024-01-02,Greed,17,1,121348.74,753.64194,0.47058823529411764,71.0,44.33187882352941
2024-01-03,Greed,67,1,394499.36,767.390696,0.417910447761194,70.0,11.453592477611942
2024-01-04,Greed,5,1,99792.54000000001,-92.551772,0.0,68.0,-18.5103544
2024-01-05,Greed,66,1,1703942.66,-261.844074,0.19696969696969696,72.0,-3.9673344545454543
2024-01-06,Greed,22,1,298521.4,60.95132200000004,0.45454545454545453,70.0,2.770514636363638
2024-01-07,Greed,97,1,1048850.06,-1097.893699,0.09278350515463918,71.0,-11.31849174226804
2024-01-08,Greed,128,1,1522452.43,-650.4875030000002,0.25,71.0,-5.081933617187501
2024-01-09,Extreme Greed,70,1,870051.97,-1030.3627910000002,0.2571428571428571,76.0,-14.719468442857146
2024-01-10,Greed,193,1,2057479.48,-1951.136207,0.21243523316062177,73.0,-10.109514025906735
2024-01-11,Extreme Greed,21,2,305314.1,-239.95667199999997,0.23809523809523808,76.0,-11.42650819047619
2024-01-12,Greed,7,1,200082.27,-1974.999751,0.0,71.0,-282.14282157142856
2024-01-15,Neutral,14,2,50636.1,140.200868,0.6428571428571429,52.0,10.014347714285716
2024-01-16,Greed,9,2,116427.33,-2316.4907670000002,0.3333333333333333,64.0,-257.38786300000004
2024-01-17,Greed,53,1,800831.03,653.566505,0.20754716981132076,60.0,12.331443490566038
2024-01-18,Greed,46,1,424631.52999999997,-23.724710999999996,0.06521739130434782,63.0,-0.5157545869565217
2024-01-19,Neutral,48,2,428428.97,-478.471103,0.125,51.0,-9.968147979166668
2024-01-20,Neutral,106,1,1070090.51,-414.097453,0.14150943396226415,52.0,-3.9065797452830187
2024-01-21,Greed,11,1,103129.74,240.79871599999998,0.2727272727272727,56.0,21.89079236363636
2024-01-22,Greed,85,2,337878.99,1308.162691,0.27058823529411763,55.0,15.390149305882353
2024-01-23,Neutral,45,1,414518.93000000005,-454.96929999999986,0.24444444444444444,50.0,-10.110428888888887
2024-01-24,Neutral,68,1,965084.59,-3036.12491,0.14705882352941177,48.0,-44.64889573529412
2024-01-25,Neutral,6,1,66566.13,-3110.270917,0.0,52.0,-518.3784861666667
2024-01-26,Neutral,5,2,11773.21,89.755765,0.2,49.0,17.951152999999998
2024-01-28,Neutral,11,1,18109.03,-2477.707544,0.0,54.0,-225.24614036363636
2024-01-29,Greed,74,2,414208.18,383.299937,0.6081081081081081,55.0,5.179728878378379
2024-01-30,Greed,49,1,401011.38,-273.90700100000004,0.10204081632653061,61.0,-5.589938795918368
2024-01-31,Greed,859,1,6305647.13,-2349.252292,0.2689173457508731,60.0,-2.734868791618161
2024-02-01,Greed,6,1,2008.18,-0.5020439999999999,0.0,63.0,-0.08367399999999998
2024-02-02,Greed,42,1,474278.43,364.853837,0.30952380952380953,63.0,8.686996119047619
2024-02-03,Greed,56,1,603820.0,113.64683800000003,0.10714285714285714,60.0,2.029407821428572
2024-02-04,Greed,35,1,203187.53,-2.9029850000000166,0.2571428571428571,60.0,-0.08294242857142904
2024-02-05,Greed,72,1,770198.26,-199.00365900000008,0.19444444444444445,60.0,-2.7639397083333344
2024-02-06,Greed,1088,1,8047153.41,-1204.222904,0.1645220588235294,64.0,-1.1068225220588235
2024-02-07,Greed,15,1,6758.73,240.902427,0.13333333333333333,62.0,16.0601618
2024-02-08,Greed,10,1,26051.12,767.7531369999999,0.4,66.0,76.7753137
2024-02-11,Greed,34,1,212311.82,958.487884,0.20588235294117646,71.0,28.19082011764706
2024-02-12,Greed,16,1,227247.69999999998,886.7698759999998,0.375,70.0,55.42311724999999
2024-02-13,Extreme Greed,14,1,1999.99,559.483882,1.0,79.0,39.96313442857143
2024-02-14,Greed,111,2,320839.88,3807.682359,0.7477477477477478,74.0,34.30344467567568
2024-02-15,Greed,63,2,185188.04,1810.09138,0.9047619047619048,72.0,28.73160920634921
2024-02-16,Greed,182,2,564896.51,5464.543664,0.8021978021978022,72.0,30.024965186813187
2024-02-17,Extreme Greed,94,2,406118.07,1867.586747,0.648936170212766,76.0,19.867944117021278
2024-02-18,Greed,97,1,157048.17,480.7657549999999,0.6288659793814433,72.0,4.9563479896907205
2024-02-19,Extreme Greed,101,2,286377.2,4302.915943,0.7623762376237624,75.0,42.60312814851485
2024-02-20,Greed,39,2,119419.72,3260.555149,0.7948717948717948,72.0,83.60397817948717
2024-02-21,Extreme Greed,22,2,108047.51999999999,1855.827941,0.6818181818181818,78.0,84.3558155
2024-02-22,Greed,88,2,373033.87,3868.6524899999995,0.45454545454545453,74.0,43.96196011363636
2024-02-23,Extreme Greed,143,1,111106.14,1420.619999,0.958041958041958,76.0,9.934405587412588
2024-02-25,Greed,5,1,4480.13,-30.6809,0.0,74.0,-6.13618
2024-02-26,Greed,39,2,192187.14,4416.945025,0.8717948717948718,72.0,113.25500064102565
2024-02-27,Extreme Greed,63,2,209362.3,892.2733420000001,0.4126984126984127,79.0,14.163068920634922
2024-02-28,Extreme Greed,45,1,171107.13,2505.124387,0.8666666666666667,82.0,55.66943082222222
2024-02-29,Extreme Greed,116,2,395666.73,9812.637907,0.8620689655172413,80.0,84.59170609482759
2024-03-01,Extreme Greed,137,1,472974.7,8244.788263,0.9343065693430657,80.0,60.180936226277375
2024-03-02,Extreme Greed,31,2,63197.56,231.36972899999995,0.6774193548387096,80.0,7.463539645161289
2024-03-03,Extreme Greed,79,1,390745.68,8363.593348,0.6835443037974683,83.0,105.8682702278481
2024-03-04,Extreme Greed,300,2,1577996.87,27800.335191,0.8866666666666667,82.0,92.66778396999999
2024-03-05,Extreme Greed,180,1,841810.32,19795.464500000002,0.9055555555555556,90.0,109.97480277777778
