classification,trades,unique_accounts,total_size_usd,gross_pnl,total_fees,net_pnl,avg_net_pnl,median_net_pnl,win_rate,buy_share,avg_size_usd,median_pnl_per_usd,mean_pnl_per_usd,net_pnl_per_trade,fee_to_gross_pnl
Extreme Fear,21400,32,114484261.44,739110.24849,23888.6339393869,715221.6145506131,33.421570773393135,-0.0059584849999999995,0.370607476635514,0.5109813084112149,5349.7318429906545,-4.799993376884195e-05,0.004108031225020195,33.421570773393135,0.032320799215260924
Fear,61837,32,483324789.79,3357155.441642,92456.9486741548,3264698.4929678454,52.79522766252964,-0.005752,0.42076750165758364,0.4895127512654236,7816.109930785776,-4.799751950803576e-05,0.014924995413923932,52.79522766252964,0.027540264453448628
Neutral,37686,31,180242063.08,1292920.67555,39374.2683038708,1253546.4072461291,33.262920109487055,-0.007516,0.3969909250119408,0.5033434166533991,4782.732661465797,-4.999902463747325e-05,0.009511162528431991,33.262920109487055,0.030453738615573798
Greed,50303,31,288582494.72,2150129.272951,63098.6919791683,2087030.5809718317,41.4891871453359,-0.010485,0.38482794266743536,0.488559330457428,5736.884375086974,-5e-05,0.01939793014597454,41.4891871453359,0.029346464314011635
Extreme Greed,39992,30,124465164.57,2715171.310673,27030.66546515,2688140.64520785,67.21695952210067,-0.00114849,0.46494298859771954,0.4485897179435887,3112.2515645629123,-9.420698533411494e-06,0.03977347202998071,67.21695952210067,0.009955418046329462
